CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,CLASIFICACION_ESTABLECIMIENTO,DIRECCION,TELEFONO_1,TELEFONO_2,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,STATUS_num,MODALIDAD_num,JORNADA_num,PLAN_num,DEPARTAMENTAL_num
16-01-0138-46,16-031,ALTA VERAPAZ,COBAN,colegio coban,colegio,km.2 salida a san juan chamelco zona 8,77945104,sin telefono,Mercedes Josefina Torres Galvez,GUSTAVO ADOLFO SIERRA POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,1,1,0
16-01-0139-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto verapaz,colegio,km 209.5 entrada a la ciudad,77367402,sin telefono,Mercedes Josefina Torres Galvez,GILMA DOLORES GUAY PAZ DE LEAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,1,1,0
16-01-0140-46,16-031,ALTA VERAPAZ,COBAN,colegio la inmaculada,colegio,7a. avenida 11-109 zona 6,78232301,sin telefono,Mercedes Josefina Torres Galvez,VIRGINIA  SOLANO SERRANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,1,1,0
16-01-0141-46,16-005,ALTA VERAPAZ,COBAN,escuela nacional de ciencias comerciales,escuela,2a calle 11-10 zona 2,79514215,sin telefono,Rudy Adolfo Tot Och,HÉCTOR ROLANDO CHUN POOU,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,1,1,0
16-01-0142-46,16-005,ALTA VERAPAZ,COBAN,instituto normal mixto del norte emilio rosales ponce,instituto,3a ave 6-23 zona 11,79521468,sin telefono,Rudy Adolfo Tot Och,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,0,4,1,0
16-01-0143-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto imperial,colegio,5a. calle 1-9 zona 3,57101061,sin telefono,Mercedes Josefina Torres Galvez,HÉCTOR WALDEMAR TOT COY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,0,1,0,2,0
16-01-0145-46,16-006,ALTA VERAPAZ,COBAN,instituto de tursmo y aviacon del norte i.t.a.n,instituto,3 av. 5-28 zona 4,54641454,sin telefono,Efrain Caal Cuc,LUIS FERNANDO SOTO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,1,1,1,0
16-01-0147-46,16-031,ALTA VERAPAZ,COBAN,colegio la inmaculada,colegio,7a. calle 11-09 zona 6 coban,49532425,sin telefono,Mercedes Josefina Torres Galvez,ROSA MARÍA ZAMORA GONZÁLEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ,1,1,0,1,0
16-01-0150-46,16-006,ALTA VERAPAZ,COBAN,instituto intercultrual altaverapacencese iiav,instituto,3a. avaenida 1-23 zona 4,sin telefono,sin telefono,Efrain Caal Cuc,GUILLERMO ESTUARDO VASQUEZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,0,0,2,0
16-01-0155-46,16-031,ALTA VERAPAZ,COBAN,liceo moderno latino,liceo,11 avenida 5-17 zona 4,79522555,sin telefono,Mercedes Josefina Torres Galvez,HÉCTOR ARMANDO TEYUL CHEN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,0,1,0,2,0
16-01-0428-46,16-005,ALTA VERAPAZ,COBAN,instituto nacional de educacion diversificada,instituto,"diagonal 08 8-05 zona 8, barrio canton las casas",79945251,sin telefono,Rudy Adolfo Tot Och,HELSON MARCO CHÉN GUTIERREZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,4,1,0
16-01-0471-46,16-031,ALTA VERAPAZ,COBAN,colegio de informatica ceninfav,colegio,12 av. 2-12 zona 1,79545566,sin telefono,Mercedes Josefina Torres Galvez,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,4,1,0
16-01-0478-46,16-031,ALTA VERAPAZ,COBAN,colegio evangelico la patria,colegio,finca chimaxito zona 11,79514440,sin telefono,Mercedes Josefina Torres Galvez,AURA EUNICE SOTO FONSECA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,1,1,1,0
16-01-0481-46,16-031,ALTA VERAPAZ,COBAN,liceo americano del norte,liceo,5ta. calle 2-23 zona 4,79514754,sin telefono,Mercedes Josefina Torres Galvez,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,1,1,0
16-01-0483-46,16-031,ALTA VERAPAZ,COBAN,liceo americano del norte,liceo,5ta. calle 2-23 zona 4,79514754,sin telefono,Mercedes Josefina Torres Galvez,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,0,1,0,2,0
16-01-0557-46,16-031,ALTA VERAPAZ,COBAN,colegio la libertad,colegio,3ra. avenida 5-12 zona 4,79523696,sin telefono,Mercedes Josefina Torres Galvez,ERICK FERNANDO CHOC GARCIA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,1,0,2,0
16-01-0558-46,16-005,ALTA VERAPAZ,COBAN,instituto normal preprimaria bilingue adscrito al instituto normal mixto del norte emilio rosales ponce,instituto,3a. ave. 6-23 zona 11,79521468,sin telefono,Rudy Adolfo Tot Och,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,4,1,0
16-01-0559-46,16-005,ALTA VERAPAZ,COBAN,instituto normal primaria bilingue intercultural ads. al instituto emilio rosales ponce,instituto,3a. ave. 6-23 zona 11,79521468,sin telefono,Rudy Adolfo Tot Och,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,4,1,0
16-01-0563-46,16-031,ALTA VERAPAZ,COBAN,centro de formacion integral las conchas fmg,centro educativo,aldea las conchas,79522793,sin telefono,Mercedes Josefina Torres Galvez,DAVID WALDEMAR URRUTIA CHOC,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,4,1,0
16-01-0565-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado salud y desarrollo,instituto,diagnonal 1 1-26 zona 1,51922050,sin telefono,Mercedes Josefina Torres Galvez,SAMANTHA GABRIELA DE LA CRUZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,0,1,0,2,0
16-01-0568-46,16-031,ALTA VERAPAZ,COBAN,instituto privado raul chenal heinemann,instituto,5a. calle 1-06 zona 3,79510413,sin telefono,Mercedes Josefina Torres Galvez,SILVIA BEATRIZ SOTO CHÉN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,2,1,0
16-01-0570-46,16-031,ALTA VERAPAZ,COBAN,liceo miguel angel asturias,liceo,7a. calle 1-13 zona 3,79511103,sin telefono,Mercedes Josefina Torres Galvez,JAYRON ARIEL COY CACAO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,1,0,2,0
16-01-0572-46,16-031,ALTA VERAPAZ,COBAN,liceo miguel angel asturias,liceo,7a. calle 1-13 zona 3,79511103,sin telefono,Mercedes Josefina Torres Galvez,JAYRON ARIEL COY CACAO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,1,1,0
16-01-0573-46,16-031,ALTA VERAPAZ,COBAN,colegio cristiano bilingue verbo,colegio,4a. calle a 4-32 zona 8,77945181,sin telefono,Mercedes Josefina Torres Galvez,LESLY EUGENIA CHOCOOJ VIDAURRE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,1,1,0
16-01-0574-46,16-005,ALTA VERAPAZ,COBAN,escuela nacional de ciencias comerciales,escuela,2a. calle 11-10 zona 2,53530198,sin telefono,Rudy Adolfo Tot Och,ERVIN ORLANDO JUAREZ SAM,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,4,1,0
16-01-0583-46,16-031,ALTA VERAPAZ,COBAN,colegio nuevos senderos,colegio,"3a. calle 3-74, zona 3",79417300,sin telefono,Mercedes Josefina Torres Galvez,ZOYLA ARGENTINA MOLLINEDO ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,1,1,0
16-01-0604-46,16-031,ALTA VERAPAZ,COBAN,instituto privado raul chenal heinemann,instituto,"5a. calle 1-06, zona 3",79510413,sin telefono,Mercedes Josefina Torres Galvez,SILVIA BEATRIZ SOTO CHÉN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,1,1,0
16-01-0609-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto de educacion bilingue intercultural imebi,instituto,lotificacion chivencorral,30367501,sin telefono,Mercedes Josefina Torres Galvez,JUAN PASCUAL LUCAS ANTONIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,1,4,1,0
16-01-0611-46,16-031,ALTA VERAPAZ,COBAN,colegio hispanoamericano,colegio,"1a calle 17-41 comunidad petet chixic, zona 12",74725125,sin telefono,Mercedes Josefina Torres Galvez,OCTAVIO ISMAEL BATZ CHOC,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,1,1,1,0
16-01-0612-46,16-031,ALTA VERAPAZ,COBAN,instituto de magisterio de educacion preprimaria infantil bilingue intercultural luz del saber,instituto,"calzada rabin ajau, zona 1",57565646,sin telefono,Mercedes Josefina Torres Galvez,THELMA MARTINA POP TZIR,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,0,0,4,1,0
